"url","alt_title_1","alt_title_2","alt_title_3"
"https://go2-thailand.com/en/city/ubon-ratchathani/attractions/sao-chaliang","Sao Chaliang in Ubon Ratchathani: Pha Taem's Weirdest Rock Formations","Pha Taem National Park Guide: Why Sao Chaliang Is Worth a Stop","Hidden Ubon Ratchathani Nature Spot: Sao Chaliang Rock Pillars"
"https://go2-thailand.com/en/city/ubon-ratchathani/attractions/prehistoric-paintings-pha-mon-noi","Pha Mon Noi: Ancient Rock Paintings in Ubon Ratchathani","Where to See Prehistoric Paintings in Thailand: Pha Mon Noi Guide","Pha Taem Rock Art: Why Pha Mon Noi Is Worth Adding to Your Route"
"https://go2-thailand.com/en/city/ubon-ratchathani/attractions/soi-sawan-waterfall","Soi Sawan Waterfall in Ubon Ratchathani: Best Time to Visit","Is Soi Sawan Waterfall Worth It? Ubon Ratchathani Nature Guide","Best Waterfalls Near Pha Taem National Park: Soi Sawan Guide"
"https://go2-thailand.com/en/city/ubon-ratchathani/attractions/sang-chan-waterfall","Sang Chan Waterfall Ubon Ratchathani: A Unique Nature Detour","Small but Special: Sang Chan Waterfall Near Khong Chiam","Ubon Ratchathani Waterfall Guide: Why Sang Chan Stands Out"
"https://go2-thailand.com/en/city/ubon-ratchathani/attractions/pk-riverside-resort","Where to Stay Near Pha Taem: PK Riverside Resort in Khong Chiam","Best Khong Chiam Base for Pha Taem? PK Riverside Resort Review","Mekong Stay in Ubon Ratchathani: PK Riverside Resort Guide"
"https://go2-thailand.com/en/city/nong-khai/attractions/den-ping-cave","Den Ping Cave Nong Khai: Sacred Cave on the Sangkhom Route","Nong Khai Cave Guide: Is Den Ping Cave Worth Visiting?","Tham Din Phiang Guide: A Spiritual Cave Stop Near Nong Khai"
"https://go2-thailand.com/en/city/nong-khai/attractions/cliff-temple-viewpoint","Best Viewpoint in Nong Khai? Cliff Temple Viewpoint Guide","Cliff Temple Viewpoint: The Mekong Panorama You Shouldn't Miss","Nong Khai Sangkhom Route: Why This Cliff Viewpoint Is Worth It"
"https://go2-thailand.com/en/city/nong-khai/attractions/white-marble-reclining-buddha","White Marble Reclining Buddha Near Nong Khai: Temple Guide","Wat Pa Phu Kon Guide: See the White Marble Reclining Buddha","Upper Isan Temple Detour: White Marble Buddha Worth Visiting"
"https://go2-thailand.com/en/city/nong-khai/attractions/friendship-bridge-viewpoint","Friendship Bridge Viewpoint: Best Laos Border View in Nong Khai","See Nong Khai Differently: Friendship Bridge Viewpoint Guide","Nong Khai Border-City Guide: Why This Bridge Viewpoint Matters"
"https://go2-thailand.com/en/city/nong-khai/attractions/mekong-riverside-promenade","Best Sunset Walk in Nong Khai: Mekong Riverside Promenade","Things to Do in Nong Khai: Walk the Mekong Riverside Promenade","Nong Khai Travel Guide: Why the Mekong Promenade Is Worth It"
"https://go2-thailand.com/en/city/nakhon-phanom/attractions/mekong-promenade-golden-naga","Nakhon Phanom Riverfront Guide: Mekong Promenade and Golden Naga","Golden Naga in Nakhon Phanom: Best Mekong Walk in the City","Things to Do in Nakhon Phanom: Start at the Golden Naga Riverfront"
"https://go2-thailand.com/en/city/nakhon-phanom/attractions/mekong-sunset-boat-cruise","Mekong Sunset Cruise in Nakhon Phanom: What to Expect","Is a Mekong Sunset Boat Cruise Worth It in Nakhon Phanom?","Nakhon Phanom Evening Guide: Mekong Sunset Boat Ride"
"https://go2-thailand.com/en/city/nakhon-phanom/attractions/phra-that-phanom-style-stupas","Why Nakhon Phanom Temples Look So Different","Phra That Phanom Style: The Temple Architecture of Nakhon Phanom","Nakhon Phanom Temple Guide: Understanding the Local Stupa Style"
"https://go2-thailand.com/en/city/nakhon-phanom/attractions/vietnamese-thai-food-street","Best Vietnamese-Thai Breakfast in Nakhon Phanom","Where to Eat in Nakhon Phanom: Vietnamese-Thai Food Guide","Nakhon Phanom Food Guide: Vietnamese Breakfast Spots to Try"
"https://go2-thailand.com/en/city/mukdahan/attractions/naga-temple-big-buddha","Mukdahan Naga Temple Guide: Big Buddha and Mekong Views","Best Hilltop Stop in Mukdahan? Naga Temple and Big Buddha","Things to Do in Mukdahan: Visit the Naga Temple and Big Buddha"
"https://go2-thailand.com/en/city/mukdahan/attractions/mekong-riverside-promenade","Mukdahan Riverside Guide: Slow Travel on the Mekong","Best Things to Do in Mukdahan: Walk the Mekong Promenade","Why the Mukdahan Mekong Riverside Promenade Is Worth Your Time"
"https://go2-thailand.com/en/city/mukdahan/attractions/loy-krathong-mekong","Loi Krathong in Mukdahan: Mekong Festival Night Guide","What Loi Krathong on the Mekong Looks Like in Mukdahan","Mukdahan Festival Guide: Loi Krathong by the River"
"https://go2-thailand.com/en/city/mukdahan/attractions/riverside-craft-beer-dining","Where to Eat by the Mekong in Mukdahan","Mukdahan Riverside Dining Guide for Sunset and Drinks","Best Riverside Dinner Spots in Mukdahan"
"https://go2-thailand.com/en/city/mukdahan/attractions/mukdahan-mekong-bungalows","Where to Stay in Mukdahan: Mekong Bungalows Guide","Best Quiet Mekong Stay in Mukdahan?","Mukdahan Hotel Guide: Slow Riverfront Bungalow Stay"
