id,slug,name_en,name_nl,name_thai,category,region,spice_level,description_en,description_nl,ingredients,allergens,dietary,image,preparation_time,difficulty,price_range
1,pad-krapow,Pad Krapow,Pad Krapow,ผัดกะเพรา,main-dish,central,hot,Stir-fried Thai basil with minced pork or chicken served over rice with a fried egg,Roergebakken Thaise basilicum met gehakt varkensvlees of kip geserveerd over rijst met een gebakken ei,"thai basil, minced pork, garlic, chili, fish sauce, soy sauce, rice, egg",none,none,/images/food/pad-krapow.webp,15 minutes,easy,budget
2,som-tam,Som Tam,Som Tam,ส้มตำ,salad,northeastern,medium,Spicy green papaya salad with tomatoes lime juice fish sauce and peanuts,Pittige groene papajasalade met tomaten limoensap vissaus en pinda's,"green papaya, tomatoes, lime juice, fish sauce, peanuts, chili",nuts,vegetarian option,/images/food/som-tam.webp,10 minutes,easy,budget
3,tom-yum-goong,Tom Yum Goong,Tom Yum Goong,ต้มยำกุ้ง,soup,central,hot,Spicy and sour Thai soup with shrimp lemongrass and lime leaves,Pittige en zure Thaise soep met garnalen citroengras en limoenbladeren,"shrimp, lemongrass, lime leaves, chili, lime juice, fish sauce, mushrooms",seafood,none,/images/food/tom-yum-goong.webp,20 minutes,medium,mid-range
4,pad-thai,Pad Thai,Pad Thai,ผัดไทย,main-dish,central,mild,Stir-fried rice noodles with tofu or shrimp bean sprouts and tamarind sauce,Roergebakken rijstnoedels met tofu of garnalen taugé en tamarindesaus,"rice noodles, tofu, bean sprouts, tamarind, fish sauce, peanuts, lime",nuts,vegetarian option,/images/food/pad-thai.webp,15 minutes,medium,budget
5,green-curry,Green Curry,Groene Curry,แกงเขียวหวาน,curry,central,hot,Spicy green curry with coconut milk Thai eggplant and basil,Pittige groene curry met kokosmelk Thaise aubergine en basilicum,"green curry paste, coconut milk, thai eggplant, basil, fish sauce, palm sugar",none,vegetarian option,/images/food/green-curry.webp,25 minutes,medium,mid-range
6,mango-sticky-rice,Mango Sticky Rice,Mango Sticky Rice,ข้าวเหนียวมะม่วง,dessert,central,none,Sweet sticky rice served with fresh mango slices and coconut cream,Zoete kleefrijst geserveerd met verse mangoplakjes en kokosroom,"sticky rice, mango, coconut milk, palm sugar, salt",none,vegetarian,/images/food/mango-sticky-rice.webp,30 minutes,easy,budget
7,massaman-curry,Massaman Curry,Massaman Curry,แกงมัสมั่น,curry,southern,medium,Rich and mild curry with Persian influences containing potatoes and peanuts,Rijke en milde curry met Perzische invloeden met aardappelen en pinda's,"massaman paste, coconut milk, beef, potatoes, peanuts, tamarind",nuts,none,/images/food/massaman-curry.webp,45 minutes,medium,mid-range
8,larb,Larb,Larb,ลาบ,salad,northeastern,hot,Spicy meat salad with herbs lime juice and toasted rice powder,Pittige vleessalade met kruiden limoensap en geroosterd rijstpoeder,"minced pork, mint, cilantro, lime juice, fish sauce, chili, toasted rice",none,none,/images/food/larb.webp,15 minutes,easy,budget
9,pad-see-ew,Pad See Ew,Pad See Ew,ผัดซีอิ๊ว,main-dish,central,mild,Stir-fried wide rice noodles with dark soy sauce Chinese broccoli and egg,Roergebakken brede rijstnoedels met donkere sojasaus Chinese broccoli en ei,"wide rice noodles, dark soy sauce, chinese broccoli, egg, pork or chicken",none,none,/images/food/pad-see-ew.webp,15 minutes,easy,budget
10,thai-fried-rice,Thai Fried Rice,Thaise Gebakken Rijst,ข้าวผัด,main-dish,central,mild,Fragrant fried rice with jasmine rice fish sauce and fresh vegetables,Geurige gebakken rijst met jasmijnrijst vissaus en verse groenten,"jasmine rice, fish sauce, garlic, onion, tomato, cucumber, lime",none,vegetarian option,/images/food/thai-fried-rice.webp,12 minutes,easy,budget
