id,slug,name_en,name_nl,type,city_slug,address,coordinates_lat,coordinates_lng,opening_hours,entrance_fee_thb,description_en,description_nl,highlights,image_url,official_website
1,walking-street,Walking Street,Walking Street,entertainment,pattaya,"Walking Street, Bang Lamung District, Chonburi",12.9236,100.8825,20:00-02:00,0,"Famous nightlife street with bars clubs restaurants and street performances","Beroemde uitgaansstraat met bars clubs restaurants en straatoptredens","Nightlife hub|Go-go bars|Street food|Live music","/images/attractions/pattaya/walking-street.webp",""
2,sanctuary-of-truth,Sanctuary of Truth,Heiligdom van de Waarheid,temple,pattaya,"206/2 Moo 5, Soi Naklua 12, Na Kluea, Bang Lamung",12.9667,100.8833,08:00-18:00,500,"Magnificent all-wood temple showcasing traditional Thai craftsmanship and philosophy","Prachtige volledig houten tempel die traditioneel Thais vakmanschap en filosofie toont","All-wood construction|Traditional craftsmanship|Philosophical art|Cultural heritage","/images/attractions/pattaya/sanctuary-truth.webp","https://www.sanctuaryoftruth.com"
3,jomtien-beach,Jomtien Beach,Jomtien Beach,beach,pattaya,"Jomtien Beach Road, Bang Lamung District",12.8833,100.8833,24/7,0,"Quieter beach alternative to Pattaya with water sports and family-friendly atmosphere","Rustiger strand alternatief voor Pattaya met watersport en familie-vriendelijke sfeer","Family-friendly|Water sports|Quieter atmosphere|Beachfront dining","/images/attractions/pattaya/jomtien-beach.webp",""
4,coral-island,Coral Island (Koh Larn),Koraal Eiland (Koh Larn),island,pattaya,"Koh Larn, Bang Lamung District, Chonburi",12.9167,100.7667,08:00-17:00,30,"Beautiful island getaway with pristine beaches and crystal clear waters","Prachtige eiland uitje met ongerepte stranden en kristalhelder water","Pristine beaches|Snorkeling|Day trips|Crystal clear waters","/images/attractions/pattaya/coral-island.webp",""
5,nong-nooch-garden,Nong Nooch Tropical Garden,Nong Nooch Tropische Tuin,garden,pattaya,"34/1 Moo 7, Na Jomtien, Sattahip District",12.7667,100.9333,08:00-18:00,500,"Spectacular botanical garden with cultural shows elephant performances and themed gardens","Spectaculaire botanische tuin met culturele shows olifantenoptredens en thematuinen","Botanical gardens|Cultural shows|Elephant performances|Themed landscapes","/images/attractions/pattaya/nong-nooch.webp","https://www.nongnoochtropicalgarden.com"
6,pattaya-floating-market,Pattaya Floating Market,Pattaya Drijvende Markt,market,pattaya,"451/304 Moo 12, Sukhumvit Road, Nong Prue",12.8833,100.9167,09:00-20:00,200,"Traditional floating market experience with local food crafts and boat rides","Traditionele drijvende markt ervaring met lokaal eten handwerk en boottochten","Floating market|Traditional boats|Local crafts|Cultural experience","/images/attractions/pattaya/floating-market.webp",""
7,pattaya-beach,Pattaya Beach,Pattaya Beach,beach,pattaya,"Pattaya Beach Road, Bang Lamung District",12.9236,100.8825,24/7,0,"Main beach strip with water sports beach activities and beachfront dining","Hoofdstrand strip met watersport strand activiteiten en restaurants aan het strand","Main beach|Water sports|Beachfront dining|Parasailing","/images/attractions/pattaya/pattaya-beach.webp",""
8,art-in-paradise,Art in Paradise,Art in Paradise,museum,pattaya,"78/34 Moo 9, 2nd Road, Nong Prue, Bang Lamung",12.9167,100.8833,09:00-21:00,420,"Interactive 3D art museum with optical illusions and photo opportunities","Interactief 3D kunst museum met optische illusies en foto mogelijkheden","3D art museum|Interactive exhibits|Photo opportunities|Optical illusions","/images/attractions/pattaya/art-paradise.webp","https://www.artinparadise.co.th"
9,big-buddha-hill,Big Buddha Hill (Wat Phra Yai),Grote Boeddha Heuvel (Wat Phra Yai),temple,pattaya,"Pratumnak Hill, Bang Lamung District",12.9167,100.8667,06:00-19:00,0,"Hilltop temple with large golden Buddha statue and panoramic city views","Heuvel tempel met groot gouden Boeddhabeeld en panoramisch uitzicht over de stad","Golden Buddha statue|Panoramic views|Hilltop temple|Sunset spot","/images/attractions/pattaya/big-buddha-hill.webp",""
10,cartoon-network-amazone,Cartoon Network Amazone,Cartoon Network Amazone,waterpark,pattaya,"888 Moo 8, Sukhumvit Road, Na Jomtien, Sattahip",12.7333,100.9333,10:00-18:00,990,"Cartoon-themed water park with slides pools and character meet-and-greets","Cartoon-thema waterpark met glijbanen zwembaden en karakter ontmoetingen","Water slides|Cartoon characters|Family fun|Themed attractions","/images/attractions/pattaya/cartoon-network.webp","https://www.cartoonnetworkamazonepark.com"
