id,slug,name_en,name_nl,type,city_slug,address,coordinates_lat,coordinates_lng,opening_hours,entrance_fee_thb,description_en,description_nl,highlights,image_url,official_website
1,patong-beach,Patong Beach,Patong Beach,beach,phuket,"Patong, Kathu District, Phuket",7.8967,98.2967,24/7,0,"Most famous beach in Phuket with vibrant nightlife water sports and restaurants","Beroemdste strand van Phuket met bruisend nachtleven watersport en restaurants","Vibrant nightlife|Water sports|Beach clubs|Shopping","/images/attractions/phuket/patong-beach.webp",""
2,big-buddha-phuket,Big Buddha Phuket,Grote Boeddha Phuket,temple,phuket,"Karon, Muang Phuket District",7.8242,98.3089,06:00-19:00,0,"Massive 45-meter tall Buddha statue with panoramic island views","Massaal 45 meter hoog Boeddhabeeld met panoramisch uitzicht over het eiland","45m Buddha statue|Panoramic views|Sunset spot|Sacred site","/images/attractions/phuket/big-buddha.webp",""
3,phi-phi-islands,Phi Phi Islands,Phi Phi Eilanden,island,phuket,"Phi Phi Islands, Krabi Province",7.7407,98.7784,08:00-17:00,400,"Stunning limestone islands famous for Maya Bay and crystal clear waters","Prachtige kalkstenen eilanden beroemd om Maya Bay en kristalhelder water","Maya Bay|Snorkeling|Limestone cliffs|Day trips","/images/attractions/phuket/phi-phi-islands.webp",""
4,phuket-old-town,Phuket Old Town,Phuket Oude Stad,historic,phuket,"Thalang Road, Muang Phuket District",7.8804,98.3923,24/7,0,"Historic quarter with Sino-Portuguese architecture colorful buildings and local culture","Historische wijk met Sino-Portugese architectuur kleurrijke gebouwen en lokale cultuur","Sino-Portuguese architecture|Colorful buildings|Local markets|Cultural heritage","/images/attractions/phuket/old-town.webp",""
5,kata-beach,Kata Beach,Kata Beach,beach,phuket,"Kata, Muang Phuket District",7.8167,98.2833,24/7,0,"Beautiful curved beach perfect for swimming surfing and family activities","Prachtig gebogen strand perfect voor zwemmen surfen en familie activiteiten","Family-friendly|Surfing|Clear waters|Beachfront dining","/images/attractions/phuket/kata-beach.webp",""
6,james-bond-island,James Bond Island,James Bond Eiland,island,phuket,"Phang Nga Bay, Phang Nga Province",8.2756,98.5019,08:00-17:00,300,"Famous limestone pinnacle featured in James Bond movie with sea kayaking","Beroemde kalkstenen spits uit James Bond film met zeekajak mogelijkheden","Movie location|Limestone formations|Sea kayaking|Phang Nga Bay","/images/attractions/phuket/james-bond-island.webp",""
7,bangla-road,Bangla Road,Bangla Road,entertainment,phuket,"Bangla Road, Patong, Kathu District",7.8967,98.2967,20:00-02:00,0,"Famous nightlife street with bars clubs go-go bars and street performances","Beroemde uitgaansstraat met bars clubs go-go bars en straatoptredens","Nightlife hub|Go-go bars|Street performances|Party atmosphere","/images/attractions/phuket/bangla-road.webp",""
8,wat-chalong,Wat Chalong,Wat Chalong,temple,phuket,"70 Chao Fah Tawan Tok Road, Chalong, Muang Phuket",7.8311,98.3378,07:00-17:00,0,"Most important Buddhist temple in Phuket with beautiful architecture and relics","Belangrijkste boeddhistische tempel van Phuket met prachtige architectuur en relieken","Sacred temple|Buddhist relics|Traditional architecture|Spiritual site","/images/attractions/phuket/wat-chalong.webp",""
9,karon-beach,Karon Beach,Karon Beach,beach,phuket,"Karon, Muang Phuket District",7.8167,98.2833,24/7,0,"Long sandy beach with fewer crowds perfect for relaxation and water sports","Lang zandstrand met minder drukte perfect voor ontspanning en watersport","Less crowded|Long sandy beach|Water sports|Beachfront resorts","/images/attractions/phuket/karon-beach.webp",""
10,phuket-fantasea,Phuket FantaSea,Phuket FantaSea,entertainment,phuket,"99 Moo 3, Kamala Beach, Kathu District",7.9667,98.2833,17:30-23:30,1800,"Cultural theme park with spectacular shows featuring Thai culture and mythology","Cultureel themapark met spectaculaire shows over Thaise cultuur en mythologie","Cultural shows|Thai mythology|Elephant performances|Theme park","/images/attractions/phuket/fantasea.webp","https://www.phuket-fantasea.com"
